epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,386.66,0.84584,0.61229,1.01114,0.91931,0.68606,0.83424,0.61281,0.93755,0.77617,1.10874,0.000689,0.000689,0.000689
70,392.323,0.84827,0.62246,1.00581,0.84209,0.83156,0.84504,0.61268,0.93942,0.77991,1.11431,0.00068075,0.00068075,0.00068075
71,398.202,0.83061,0.59709,0.99887,0.88279,0.79896,0.88019,0.64109,0.9343,0.70881,1.10169,0.0006725,0.0006725,0.0006725
72,403.836,0.83457,0.60245,0.99557,0.81181,0.79616,0.86003,0.63539,0.93064,0.71186,1.08606,0.00066425,0.00066425,0.00066425
73,409.348,0.79013,0.56529,0.97904,0.89754,0.76678,0.89147,0.63832,0.95105,0.69252,1.12263,0.000656,0.000656,0.000656
74,414.838,0.81089,0.59718,0.99309,0.86602,0.76642,0.88125,0.65847,0.8969,0.72619,1.07584,0.00064775,0.00064775,0.00064775
75,420.442,0.81156,0.57948,0.99726,0.87592,0.7971,0.86541,0.6215,0.92495,0.67505,1.08831,0.0006395,0.0006395,0.0006395
76,425.968,0.84015,0.61192,0.99857,0.87736,0.78639,0.85763,0.60851,0.96102,0.67665,1.11349,0.00063125,0.00063125,0.00063125
77,431.465,0.82136,0.58418,0.99016,0.8509,0.77734,0.8668,0.6372,0.93112,0.73666,1.08059,0.000623,0.000623,0.000623
78,436.986,0.79473,0.58379,0.9937,0.80327,0.78945,0.85556,0.6282,0.89482,0.74573,1.08219,0.00061475,0.00061475,0.00061475
79,442.497,0.81908,0.57215,0.99892,0.87987,0.74725,0.85434,0.61192,0.95728,0.72006,1.11754,0.0006065,0.0006065,0.0006065
80,447.989,0.80009,0.56818,0.98402,0.80841,0.81528,0.8332,0.60675,0.92802,0.73517,1.09828,0.00059825,0.00059825,0.00059825
81,453.455,0.79482,0.59408,0.98365,0.89633,0.79578,0.83858,0.61925,0.90954,0.75706,1.10092,0.00059,0.00059,0.00059
82,459.033,0.81756,0.57719,0.99127,0.75693,0.84944,0.81708,0.59668,0.90699,0.76013,1.07883,0.00058175,0.00058175,0.00058175
83,464.546,0.77138,0.53567,0.97671,0.79251,0.87818,0.8585,0.63002,0.90123,0.70005,1.06471,0.0005735,0.0005735,0.0005735
84,470.112,0.80289,0.55895,0.97741,0.83634,0.79852,0.85933,0.63642,0.88168,0.69955,1.05783,0.00056525,0.00056525,0.00056525
